# Activity probe — mechanical signals only, NOT verdicts.
# Generated 2026-08-14 by scripts/probe-activity-signals.mjs. Regenerate freely; not in Git.
# A 200 proves the domain answers, not that anyone is home: parked domains and mothballed
# program pages answer 200 forever. site-year is the newest year the homepage mentions, which is a
# better maintenance tell. evidence-date is the newest date a cited source document itself carries
# (Published, never Retrieved). Decide Activity from research; use these to know where to look first.
#
slug	type	tier	http	site-year	evidence-date	website	final-url
tcn	venture	C	200	2026		https://www.tcn.com/	
teal-drones	venture	B	202			https://tealdrones.com	https://tealdrones.com/
tech-ridge	resource	D	200	2026		https://techridge.com/	
techcyte	venture	C	200	2026		https://www.techcyte.com	https://techcyte.com/
teen-entrepreneur-support-center	resource	D	403			https://teenentrepreneurship.org/	
teiko-bio	venture	D	200	2026		https://teiko-labs.com/	
telescope-array-ultra-high-energy-cosmic-rays	venture	A	200	2023		https://www.telescopearray.org/	http://jws001.dyndns-home.com/
tellus	venture	C	200	2025		https://tellusensors.com	https://www.tellusensors.com/
the-hub-at-bridgerland-technical-college	resource	D	202			https://thehubatbtech.org/	
the-inn-between	venture	C	200	2026		https://tibhospice.org	https://tibhospice.org/
the-mill-entrepreneurship-center	resource	F	200	2026		https://themillatslcc.com/	
the-other-side-academy	venture	C	200	2020		https://www.theothersideacademy.com	https://www.theothersideacademy.com/
the-shop	resource	D	200	2026		https://shopworkspace.com/location/salt-lake-city/	
thera-t-pharmaceutics	venture	D	200	2026		https://thera-tpharmaceutics.com	https://thera-tpharmaceutics.com/
thiokol-solid-rocket-motors	work	S	200			https://www.nasa.gov/history/rogersrep/genindex.htm	
tim-latimer	person	B	no-website				
torus	venture	B	200			https://www.torus.co/	
trace-aq	venture	D	200	2019		https://www.traceaq.com/	
u-s-commercial-service	resource	D	200	2026		https://www.trade.gov/utah-salt-lake-city	
uinta-basin-association-of-governments	resource	D	200	2026		https://www.ubaog.org/	
uinta-basin-tech-entrepreneur-center	resource	D	200	2026		https://statewide.usu.edu/uintahbasin/ecenter/	
uintah-basin-economic-development-district	resource	D	200	2026		https://www.ubaog.org/economic-development-district	
uintah-county-economic-development	resource	D	200	2026		https://business.uintah.gov/	
university-of-utah	resource	F	200	2026		https://www.utah.edu/	
university-of-utah-lassonde-entrepreneurship-institute	resource	D	200	2026		https://lassonde.utah.edu/	
university-of-utah-pivot-center	resource	F	200	2026		https://technologylicensing.utah.edu/	
university-of-utah-technology-licensing-office	resource	D	200	2026		https://technologylicensing.utah.edu/	
us-magnesium	venture	B	200	2023		https://usmagnesium.com	https://usmagnesium.com/
us-synthetic	venture	C	200	2026		https://ussynthetic.com	https://ussynthetic.com/
usana	venture	C	200		2026-03-16	https://www.usana.com/	
usu-integrated-biosystems	venture	D	200			https://qanr.usu.edu/biosystems	https://qanr.usu.edu/biosystems/
usu-remote-online-initiative	resource	D	200	2026		https://extension.usu.edu/remoteworkcertificate/	
utah-alliance-for-economic-development	resource	D	200	2026		https://www.utahalliance.com/	
utah-arch	venture	C	200	2025		https://arch.cs.utah.edu	https://arch.cs.utah.edu/
utah-array-bci-platform	work	S	200	2026		https://www.medicaldesignandoutsourcing.com/utah-array-brain-computer-interface-blackrock-neurotech/	
utah-asian-chamber-of-commerce-uacc	resource	D	202			https://utahasianchamber.org/	
utah-association-of-counties-uac	resource	D	200	2026		https://www.uacnet.org/	https://www.utahcounties.org/
utah-black-chamber	resource	D	200	2026		https://www.utahblackchamber.com/	
utah-center-for-global-talent	resource	D	200	2026		https://business.utah.gov/global-talent/	
utah-center-for-rural-development	resource	D	200	2026		https://business.utah.gov/rural/	
utah-chinese-association	resource	F	200	2022		https://www.utahchineseassociation.org/	
utah-computer-graphics-program	work	S	200	2023		https://www.cs.utah.edu/about/history/	https://www.cs.utah.edu/resources/history/
utah-congregate-care-oversight-reform	work	B	no-website		2022-04-12		
utah-defense-alliance	resource	D	202			https://utahdefensealliance.com/home/	
utah-department-of-agriculture-and-food	resource	D	200	2025		https://ag.utah.gov/	
utah-department-of-workforce-services	resource	D	200	2026		https://jobs.utah.gov/	
utah-digital-entertainment-network	resource	F	200	2022		https://utahden.org/	
utah-division-of-outdoor-recreation	resource	D	200	2026		https://recreation.utah.gov/	
utah-farmers-market-network	resource	D	200	2025		https://www.utahfarmersmarketnetwork.org/	
utah-film-center-fiscal-sponsorship	resource	D	200	2026		https://fiscal.utahfilmcenter.org/	
utah-film-commission	resource	D	200	2026		https://film.utah.gov/	
utah-film-industry	venture	C	200	2026		https://film.utah.gov	https://film.utah.gov/
utah-forge	work	A	200	2026		https://www.energy.gov/hgeo/geothermal/forge	
utah-geek-events	resource	D	200	2026		https://www.utahgeekevents.com/	
utah-governor-s-office-of-economic-opportunity	resource	C	200	2026		https://business.utah.gov/	
utah-hispanic-chamber-of-commerce	resource	D	200	2026		https://utahhcc.com/	
utah-inland-port-authority	resource	D	200	2026		https://inlandportauthority.utah.gov/	
utah-innovation-center	resource	C	200	2026		https://www.nucleusutah.org/grow	
utah-innovation-fund	resource	D	200	2022		https://www.nucleusfundutah.com/	
utah-kids-code-camp	resource	D	200	2026		https://www.utahgeekevents.com/events/kids-code-camp-2026/	
utah-korean-chamber-of-commerce	resource	D	200	2026		https://www.utahkcc.org/	
utah-league-of-cities-and-towns-ulct	resource	D	200	2026		https://www.ulct.org/	https://www.ulct.utah.gov/
utah-lgbtq-chamber-of-commerce	resource	D	200	2026		https://www.utahlgbtqchamber.org/	
utah-manufacturers-association	resource	D	200	2026		https://manufacturingutah.com/	
utah-medicaid	resource	D	200	2026		https://medicaid.utah.gov/	
utah-mep	resource	C	200	2026		https://utah-mep.org/	
utah-microloan-fund-umlf	resource	D	200	2016		https://www.utahmicroloanfund.org/	
utah-multi-level-marketing-industry	venture	A	no-website		2026-03-16		
utah-muslim-civic-league-umcl	resource	F	200			https://startup.utah.gov/business-resource/utah-muslim-civic-league-umcl/	
utah-native-american-chamber-of-commerce	resource	D	200	2026		https://www.utncoc.com/	
utah-neurorobotics-lab	venture	C	200	2026		https://neurorobotics.ece.utah.edu	https://neurorobotics.ece.utah.edu/
utah-office-of-primary-care-and-rural-health	resource	D	200	2026		https://ruralhealth.utah.gov/	
utah-office-of-regulatory-relief	resource	D	200	2026		https://business.utah.gov/regulatory-relief/	
utah-office-of-tourism	resource	D	200	2026		https://travel.utah.gov/	
utah-pacific-islander-chamber-of-commerce	resource	D	200	2025		https://www.upichamber.org/	
utah-population-database	work	S	200	2026		https://uofuhealth.utah.edu/huntsman/utah-population-database	
utah-regional-growth-association	resource	D	200	2020		https://www.utrga.org/	
utah-s-own-local-food-production	resource	D	200	2026		https://utahsown.org/	
utah-sbdc	resource	C	200			https://utahsbdc.org/	
utah-small-business-credit-initiative	resource	C	200	2026		https://business.utah.gov/usbci/	
utah-small-business-credit-initiative-usbci	resource	F	200	2026		https://business.utah.gov/usbci/	
utah-state-surplus-property	resource	D	200	2026		https://purchasing.utah.gov/general-services/state-surplus-property/	
utah-state-university-usu-jeffrey-d-clark-center-for-entrepreneurship	resource	D	200			https://huntsman.usu.edu/ecenter/	
utah-tech-calendar	resource	D	200	2026		https://utahtechcalendar.com/	
utah-tech-university-atwood-innovation-center	resource	D	200	2026		https://innovation.utahtech.edu/business-resource-center/	
utah-test-and-training-range	work	A	403			https://www.hill.af.mil/About-Us/Fact-Sheets/Display/Article/672497/utah-test-and-training-range/	
utah-tourism-association	resource	D	200	2026		https://utahtourism.org/	
utah-valley-university-innovation-center-academy	resource	D	200	2026		https://www.uvu.edu/innovation/	
utah-valley-university-uvu-entrepreneur-institute	resource	D	200	2026		https://www.uvu.edu/woodbury/entrepreneurship/	
utah-water-savers	resource	D	200	2026		https://www.utahwatersavers.com/	
utahjs	resource	D	200	2026		https://utahjs.com/	
utahn	venture	D	200	2026		https://utahn.com/	
utahquantum	venture	F	200	2026		https://utahquantum.org	https://utahquantum.org/
utif	resource	D	200	2020		https://www.nucleusutah.org/utif	
uttr	venture	A	403			https://www.hill.af.mil/About-Us/Fact-Sheets/Display/Article/672497/utah-test-and-training-range/	
uzona-hildale-chamber-of-commerce	resource	D	200			https://www.uzonachamber.org/	
valar-atomics	venture	B	200	2026		https://www.valaratomics.com	https://www.valaratomics.com/
varda-space	venture	B	200	2026		https://www.varda.com/	
vector	venture	C	no-website				
vernal-area-chamber-of-commerce	resource	D	200	2026		https://www.vernalchamber.com/	
vernal-downtown-alliance	resource	D	200	2026		https://www.vernal.gov/471/Vernal-Downtown-Plan	
vernal-innovation-hub	resource	D	200	2026		https://www.vernalinnovationhub.com/	
veteran-business-resource-center-vbrc-utah	resource	D	200	2026		https://utahvbrc.org/	
veteran-owned-business-registration-utah	resource	F	UNABLE_TO_VERIFY_LEAF_SIGNATURE			https://vbr.veterans.utah.gov/s/	
vision-iron-county	resource	F	200	2024		https://visionironcounty.org/	
visit-utah	resource	F	200	2026		https://www.visitutah.com/	
vivint-smart-home	venture	C	403			https://www.vivint.com	https://www.vivint.com/
vuely	venture	D	200	2026		https://vuely.co/	
wagevo	venture	D	200			https://wagevo.com/	
wasatch-front-regional-council	resource	D	200	2026		https://wfrc.org/contact/	https://wfrc.utah.gov/about/contact/
wasatch-ionics	venture	D	no-website				
wasatch-women-s-business-alliance	resource	D	200	2025		https://thewwba.org/	
washington-area-chamber-of-commerce	resource	D	200	2026		https://washingtonutchamber.com/	
washington-city-economic-development	resource	D	200	2026		https://washingtoncity.org/development/economicdevelopment	https://washingtonutah.gov/development/economicdevelopment
wave-inc	venture	C	200	2026		https://www.wavecharging.com/	
wavetronix	venture	C	200	2026		https://www.wavetronix.com/	
weave	venture	C	200	2026		https://www.getweave.com	https://www.getweave.com/
weber-basin-job-corps	resource	D	200	2023		https://weberbasin.jobcorps.gov/	
weber-county-economic-development	resource	D	200	2024		https://www.webercountyutah.gov/economic_development/	
weber-state-ai-hackathon	resource	D	200			https://hackathon.weber.edu/	
western-governors-university	venture	B	200	2026		https://www.wgu.edu	https://www.wgu.edu/
wildcat-microfund	resource	D	200	2026		https://www.weber.edu/wildcat-microfund/	
williams-international	venture	B	200	2024		https://www.williams-int.com/	
wilson-sonsini-salt-lake-city	helper	D	403			https://www.wsgr.com/en/about-us/offices/salt-lake-city.html	
women-tech-counsel	resource	D	200	2026		https://www.womentechcouncil.com/	
womens-business-center-of-utah	resource	C	200	2026		https://wbcutah.org/	https://www.wbcutah.org/
wordperfect	venture	B	no-website				
wordperfect-and-novell	work	B	200	2023		https://www.wordperfect.com/en/	
work-hive	resource	D	200	2025		https://workhiveslc.com/	
workbox	resource	D	200	2026		https://www.workboxcompany.com/	
workfront	venture	C	timeout			https://business.adobe.com/products/workfront/main.html	
workman-nydegger	helper	D	200	2026		https://www.wnlaw.com/	
world-trade-center-utah	resource	D	200	2026		https://www.wtcutah.com/	
xandem	venture	D	no-website				
yesco	venture	C*	200	2026		https://www.yesco.com	https://www.yesco.com/
zanskar-geothermal	venture	A	200	2026		https://zanskar.com	https://zanskar.com/
zaymo	venture	D	200	2026		https://zaymo.com	https://www.zaymo.com/
